"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Established","Internet","InHost",,,,"184.171.153.203++49689++185.199.111.133++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:20:04 AM","184.171.153.203","49689","3204","185.199.111.133","443",
"Listen",,"InHost",,,,"127.0.0.1++49687++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:20:01 AM","127.0.0.1","49687","4148","0.0.0.0","0",
"Established","Internet","InHost",,,,"184.171.153.203++49684++104.26.15.40++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:19:57 AM","184.171.153.203","49684","3204","104.26.15.40","443",
"Established","Internet","InHost",,,,"184.171.153.203++49679++140.82.113.5++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:19:54 AM","184.171.153.203","49679","3204","140.82.113.5","443",
"Established","Internet","InHost",,,,"184.171.153.203++49676++44.217.199.118++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:19:53 AM","184.171.153.203","49676","4268","44.217.199.118","443",
"Listen",,"InHost",,,,"0.0.0.0++49669++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:19 AM","0.0.0.0","49669","644","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49668++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:15 AM","0.0.0.0","49668","636","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49667++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:13 AM","0.0.0.0","49667","2080","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49666++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:12 AM","0.0.0.0","49666","1500","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49665++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:11 AM","0.0.0.0","49665","1136","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49664++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:10 AM","0.0.0.0","49664","500","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++5040++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:34 AM","0.0.0.0","5040","2712","0.0.0.0","0",
"Listen",,"InHost",,,,"184.171.153.203++139++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:14 AM","184.171.153.203","139","4","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++135++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:10 AM","0.0.0.0","135","884","0.0.0.0","0",
